uf,estado,status,natureza_doc,documento,data,orgao,url
AC,Acre,READ,ex-ante,"Gabinete de Crise Hídrica (Decreto nº 11.899, DOE 12/06/2026; sucede a estrutura do Decreto 11.504/2024)",12/06/2026,Defesa Civil AC,
AL,Alagoas,NOVO,ex-ante,"""Comitê El Niño"" — criado por decreto estadual para monitorar, prevenir e reduzir impactos do El Niño (coordenação Semarh + Defesa Civil Estadual)",28/08/2026,Defesa Civil AL,
AM,Amazonas,NOVO,ex-ante,"Estado de Emergência Climática e Ambiental preventivo (Decreto nº 54.274, DOE 01/06/2026) + Operação Amazonas+Verde",01/06/2026,Defesa Civil AM,
AP,Amapá,VIG,ex-ante,"Plano de Prevenção e Controle do Desmatamento, Queimadas e Incêndios Florestais (PPCDAP, vigência atualizada 2026-2030) + Comitê Interinstitucional de Prevenção e Combate à Estiagem e Incêndios Florestais (Decreto nº 5.677/2024)",Recorrente,Defesa Civil AP,
BA,Bahia,ELAB,ex-ante,Plano de enfrentamento em estruturação,08/2026,Superint. Defesa Civil BA,
CE,Ceará,VIG,ex-ante,Monitoramento + Comitê de Segurança Hídrica,Recorrente,FUNCEME/Cogerh,
DF,Distrito Federal,VIG,ex-ante,"Estado de Emergência Ambiental preventivo recorrente (Decreto nº 48.599/2026, DODF 15/05/2026) — ativa o PPCIF (Decreto nº 37.549/2016) contra incêndios florestais",Recorrente,Defesa Civil DF,
ES,Espírito Santo,VIG,ex-ante,Plano de verão/chuvas (ciclo anual),Recorrente,Defesa Civil ES,
GO,Goiás,NOVO,ex-ante,PLANCON Estiagem 2026 + Gabinete de Ações Integradas,18/08/2026,Defesa Civil Estadual/CBMGO,
MA,Maranhão,READ,ex-ante,Maranhão Sem Queimadas (7ª edição),26/05/2026,Sema-MA/CBMMA,
MG,Minas Gerais,VIG,ex-ante,Plano de verão/chuvas (ciclo anual),Recorrente,Defesa Civil MG,
MS,Mato Grosso do Sul,READ,ex-ante,"Decreto de emergência ambiental PREVENTIVO (DOE 03/06/2026, base alerta Cemtec) — ex-ante pelo objeto; CICOE",03/06/2026,Semadesc/Defesa Civil MS,
MT,Mato Grosso,NOVO,ex-ante,Plano de Combate a Incêndios 2º sem. 2026 (Decreto 2.015/2026),25/05/2026,Sema-MT/CBMMT,
PA,Pará,READ,ex-ante,"Alerta Climático e Ambiental preventivo (Decreto Estadual nº 5.606/2026, DOE 25/08/2026)",25/08/2026,Defesa Civil Nac./estadual,
PB,Paraíba,LAC,nenhum,Nenhum plano estadual nominal localizado,—,Defesa Civil PB,
PE,Pernambuco,ELAB,ex-ante,Plano Estadual de Adaptação e Resiliência Climática de Pernambuco (PEAR-PE) — em elaboração,Em elaboração (lançado 12/05/2025),Governo PE/APAC,
PI,Piauí,VIG,ex-ante,Antecipação de ações (PAA/PAS/Garantia-Safra),2026,Governo PI,
PR,Paraná,READ,ex-ante,Nota Técnica Conjunta nº 01/2026,05/2026,Defesa Civil PR/SIMEPAR,
RJ,Rio de Janeiro,VIG,ex-ante,Plano de verão/chuvas (ciclo anual),Recorrente,Defesa Civil RJ,
RN,Rio Grande do Norte,LAC,nenhum,Nenhum plano estadual nominal localizado,—,Defesa Civil RN,
RO,Rondônia,READ,ex-ante,CEPCIF / POTIF-RO (Decreto 28.811/2024),2024–2026,CEPCIF/CBMRO,
RR,Roraima,VIG,ex-ante,Operação Verão Sem Fogo (ciclo nov–abr),Recorrente,CBMRR/Defesa Civil,
RS,Rio Grande do Sul,READ,ex-ante,Prepara RS (Plano Rio Grande),17/06/2026,Defesa Civil RS,
SC,Santa Catarina,NOVO,ex-ante,Plano de Contingência El Niño SC 2026 (único estadual integrado),20/08/2026,Sec. Proteção e Defesa Civil SC,
SE,Sergipe,NOVO,ex-ante,"Comitê Estadual de Gestão de Eventos Climáticos Extremos (Cegec) — Plano de Contingência Estadual, programa ""Sergipe Resiliente: El Niño 2026/2027""",04/08/2026,Defesa Civil SE,
SP,São Paulo,VIG,ex-ante,Plano de verão/chuvas (ciclo anual),Recorrente,Defesa Civil SP,
TO,Tocantins,READ,ex-ante,Plano Integrado de Prevenção e Combate a Incêndios 2025/2026,2026,Semarh/Naturatins/CBMTO,
