data,uf,tipo,titulo,resumo
31/08/2026,AC,abertura,Acre: feed iniciado,"Estado: plano recorrente readaptado para o ciclo. 22 registro(s) municipal(is) verificado(s). MARÉ 69,6/100."
31/08/2026,AL,abertura,Alagoas: feed iniciado,"Estado: plano estadual novo, específico para o El Niño. 14 registro(s) municipal(is) verificado(s). MARÉ 53,5/100."
31/08/2026,AM,abertura,Amazonas: feed iniciado,"Estado: plano estadual novo, específico para o El Niño. 2 registro(s) municipal(is) verificado(s). MARÉ 84,1/100."
31/08/2026,AP,abertura,Amapá: feed iniciado,"Estado: instrumento recorrente, sem menção nominal ao El Niño. 5 registro(s) municipal(is) verificado(s). MARÉ 37,4/100."
31/08/2026,BA,abertura,Bahia: feed iniciado,"Estado: plano estadual em elaboração. 1 registro(s) municipal(is) verificado(s). MARÉ 24,0/100."
31/08/2026,CE,abertura,Ceará: feed iniciado,"Estado: instrumento recorrente, sem menção nominal ao El Niño. 1 registro(s) municipal(is) verificado(s). MARÉ 37,5/100."
31/08/2026,DF,abertura,Distrito Federal: feed iniciado,"Estado: instrumento recorrente, sem menção nominal ao El Niño. 1 registro(s) municipal(is) verificado(s). MARÉ 38,3/100."
31/08/2026,ES,abertura,Espírito Santo: feed iniciado,"Estado: instrumento recorrente, sem menção nominal ao El Niño. 72 registro(s) municipal(is) verificado(s). MARÉ 57,5/100."
31/08/2026,GO,abertura,Goiás: feed iniciado,"Estado: plano estadual novo, específico para o El Niño. 1 registro(s) municipal(is) verificado(s). MARÉ 45,4/100."
31/08/2026,MA,abertura,Maranhão: feed iniciado,"Estado: plano recorrente readaptado para o ciclo. 7 registro(s) municipal(is) verificado(s). MARÉ 60,3/100."
31/08/2026,MG,abertura,Minas Gerais: feed iniciado,"Estado: instrumento recorrente, sem menção nominal ao El Niño. 1 registro(s) municipal(is) verificado(s). MARÉ 23,4/100."
31/08/2026,MS,abertura,Mato Grosso do Sul: feed iniciado,"Estado: plano recorrente readaptado para o ciclo. 6 registro(s) municipal(is) verificado(s). MARÉ 55,0/100."
31/08/2026,MT,abertura,Mato Grosso: feed iniciado,"Estado: plano estadual novo, específico para o El Niño. 4 registro(s) municipal(is) verificado(s). MARÉ 69,3/100."
31/08/2026,PA,abertura,Pará: feed iniciado,"Estado: plano recorrente readaptado para o ciclo. 11 registro(s) municipal(is) verificado(s). MARÉ 34,1/100."
31/08/2026,PB,abertura,Paraíba: feed iniciado,"Estado: sem plano estadual nominal localizado. 19 registro(s) municipal(is) verificado(s). MARÉ 11,9/100."
31/08/2026,PE,abertura,Pernambuco: feed iniciado,"Estado: plano estadual em elaboração. 1 registro(s) municipal(is) verificado(s). MARÉ 23,8/100."
