uf,estado,mare_total,faixa,componente_estadual,componente_cobertura_populacional,componente_antecipacao,status_estadual
AC,Acre,56.8,consolidado,50.0,20.4,100,ELAB
AL,Alagoas,46.9,em construção,67.5,43.1,30,ELAB
AM,Amazonas,82.7,avançado,82.5,65.6,100,NOVO
AP,Amapá,23.8,estágio inicial,22.5,9.0,40,VIG
BA,Bahia,20.8,estágio inicial,17.5,24.9,20,ELAB
CE,Ceará,31.3,em construção,22.5,31.5,40,VIG
DF,Distrito Federal,58.3,consolidado,55.0,80.0,40,VIG
ES,Espírito Santo,57.5,consolidado,45.0,97.5,30,VIG
GO,Goiás,45.8,em construção,100.0,7.5,30,NOVO
MA,Maranhão,58.3,consolidado,55.0,19.9,100,READ
MG,Minas Gerais,24.7,estágio inicial,45.0,9.1,20,VIG
MS,Mato Grosso do Sul,56.5,consolidado,65.0,4.5,100,READ
MT,Mato Grosso,69.9,consolidado,100.0,9.8,100,NOVO
PA,Pará,33.9,em construção,65.0,6.8,30,READ
PB,Paraíba,13.6,estágio inicial,0.0,30.7,10,LAC
PE,Pernambuco,22.6,estágio inicial,17.5,30.3,20,ELAB
PI,Piauí,30.1,em construção,22.5,27.9,40,VIG
PR,Paraná,67.4,consolidado,65.0,37.3,100,READ
RJ,Rio de Janeiro,47.2,em construção,45.0,66.7,30,VIG
RN,Rio Grande do Norte,11.9,estágio inicial,0.0,25.8,10,LAC
RO,Rondônia,54.0,consolidado,55.0,67.0,40,READ
RR,Roraima,51.4,consolidado,45.0,69.2,40,VIG
RS,Rio Grande do Sul,64.5,consolidado,65.0,28.5,100,READ
SC,Santa Catarina,77.9,avançado,100.0,33.6,100,NOVO
SE,Sergipe,61.4,consolidado,100.0,54.3,30,NOVO
SP,São Paulo,39.5,em construção,45.0,33.4,40,VIG
TO,Tocantins,39.0,em construção,55.0,22.0,40,READ
