uf,municipio,categoria,documento,data,fonte,url
AC,Acrelândia,decreto,"Portaria SEDEC nº 2.659/2026 (seca, todos os 22 municípios do AC)",19/08/2026,DOU,
AC,Assis Brasil,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Brasiléia,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Bujari,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Capixaba,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Cruzeiro do Sul,decreto,Portaria SEDEC nº 2.659/2026 (seca); também em decreto de cheia 11.865/2026 (04/2026),19/08/2026,DOU,
AC,Epitaciolândia,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Feijó,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Jordão,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Manoel Urbano,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Marechal Thaumaturgo,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Mâncio Lima,decreto,Portaria SEDEC nº 2.659/2026 (seca); também em decreto de cheia 11.865/2026,19/08/2026,DOU,
AC,Plácido de Castro,decreto,Portaria SEDEC nº 2.659/2026 (seca); também em decreto de cheia 11.865/2026,19/08/2026,DOU,
AC,Porto Acre,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Porto Walter,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Rio Branco,plano,"Plano de Ação para Contingência no abastecimento (Saerb) + plano de contingência amplo da Defesa Civil, apresentados 16/06/2026",16/06/2026,Prefeitura de Rio Branco (oficial),https://www.riobranco.ac.gov.br/saerb/prefeitura-de-rio-branco-apresenta-plano-de-contingencia-para-garantir-abastecimento-de-agua-durante-estiagem-severa/
AC,Rodrigues Alves,decreto,Portaria SEDEC nº 2.659/2026 (seca); também em decreto de cheia 11.865/2026,19/08/2026,DOU,
AC,Santa Rosa do Purus,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Sena Madureira,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Senador Guiomard,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AC,Tarauacá,decreto,Portaria SEDEC nº 2.659/2026 (seca); também em decreto de cheia 11.865/2026,19/08/2026,DOU,
AC,Xapuri,decreto,Portaria SEDEC nº 2.659/2026 (seca),19/08/2026,DOU,
AL,Arapiraca,nao_localizado,—,—,—,
AL,Belo Monte,decreto,Reconhecimento federal (estiagem),18/03/2026,Cadaminuto,https://www.diariomunicipal.com.br/ama
AL,Canapi,decreto,Decreto 01; Portaria SEDEC 459/2026,27/01/2026,Tribuna Hoje,https://www.diariomunicipal.com.br/ama
AL,Carneiros,decreto,Decreto 017/2026 (estiagem),17/08/2026,Sertão142 + DOM/AL,https://www.diariomunicipal.com.br/ama
AL,Dois Riachos,decreto,"Decreto 024 (estiagem, nível II)",21/08/2026,Alagoas na Net + DOM/AL,https://www.diariomunicipal.com.br/ama
AL,Girau do Ponciano,decreto,Decreto 02; Portaria 459/2026,03/02/2026,Tribuna Hoje,https://www.diariomunicipal.com.br/ama
AL,Maceió,plano,Previne Maceió (5º ano),10/04/2026,Prefeitura de Maceió,https://maceio.al.gov.br/noticias/defesa-civil/defesa-civil-intensifica-acoes-preventivas-para-o-periodo-chuvoso-em-maceio
AL,Mata Grande,decreto,Decreto 021/2026 (estiagem),19/08/2026,Sertão142 + DOM/AL,https://www.diariomunicipal.com.br/ama
AL,Minador do Negrão,decreto,Portarias 1.521–1.524,08/05/2026,Tribuna Hoje,https://www.diariomunicipal.com.br/ama
AL,Olho d'Água das Flores,decreto,Reconhecimento federal (estiagem),18/03/2026,Cadaminuto,https://www.diariomunicipal.com.br/ama
AL,Olho d'Água do Casado,decreto,Reconhecimento federal (estiagem),2026,Petrolina em Destaque,https://www.diariomunicipal.com.br/ama
AL,Ouro Branco,decreto,Portaria 2.392; Decreto 22,10/07/2026,Atlas Público,https://www.diariomunicipal.com.br/ama
AL,Rio Largo,nao_localizado,—,—,—,
AL,Senador Rui Palmeira,decreto,Reconhecimento federal (estiagem),2026,Terra,https://www.diariomunicipal.com.br/ama
AM,Manaus,plano,Plano Operacional de Enfrentamento à Estiagem 2026,16/07/2026,"Prefeitura de Manaus — PLANCON 2024 unificado (PDF oficial), ativado no ciclo pelo Plano Operacional de Enfrentamento à Estiagem 2026",https://www.manaus.am.gov.br/wp-content/uploads/2025/03/PLANO-DE-CONTINGENCIA-OFICIAL-2024-UNIFICADO.pdf
AM,Santa Isabel do Rio Negro,decreto,Decreto de emergência por inundação (reconhecimento federal),2026,GOV.BR/MIDR,
