ibge,uf,regiao,municipio,populacao,porte,marcadores,controle,nivel_verificacao,instrumento_localizado,natureza,decreto_reconhecido
1200104,AC,Norte,Brasiléia,26000,pequeno_II,geo_hidrologico,False,nacional,decreto,resposta,True
1200203,AC,Norte,Cruzeiro do Sul,91888,medio,geo_hidrologico,False,nacional,decreto,resposta,True
1200252,AC,Norte,Epitaciolândia,18757,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,True
1200302,AC,Norte,Feijó,35426,pequeno_II,geo_hidrologico,False,nacional,decreto,resposta,True
1200328,AC,Norte,Jordão,9222,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,True
1200336,AC,Norte,Mâncio Lima,19300,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,True
1200351,AC,Norte,Marechal Thaumaturgo,17093,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,True
1200393,AC,Norte,Porto Walter,10735,pequeno_I,,True,nacional,decreto,resposta,True
1200427,AC,Norte,Rodrigues Alves,14938,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,True
1200609,AC,Norte,Tarauacá,43464,pequeno_II,geo_hidrologico,False,nacional,decreto,resposta,True
1200708,AC,Norte,Xapuri,18243,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,True
1200807,AC,Norte,Porto Acre,16693,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,True
2700300,AL,Nordeste,Arapiraca,234696,grande,,True,nacional,nao_verificado,,
2701902,AL,Nordeste,Chã Preta,5910,pequeno_I,,True,nacional,,,
2703759,AL,Nordeste,Jequiá da Praia,9470,pequeno_I,geo_hidrologico,False,nacional,,,
2704005,AL,Nordeste,Junqueiro,23907,pequeno_II,,True,nacional,,,
2704104,AL,Nordeste,Lagoa da Canoa,18457,pequeno_I,,True,nacional,,,
2705606,AL,Nordeste,Novo Lino,10024,pequeno_I,geo_hidrologico,False,nacional,,,
2706505,AL,Nordeste,Passo de Camaragibe,13804,pequeno_I,geo_hidrologico,False,nacional,,,
2707305,AL,Nordeste,Porto Calvo,24071,pequeno_II,geo_hidrologico,False,nacional,,,
2707404,AL,Nordeste,Porto de Pedras,9295,pequeno_I,,True,nacional,,,
2707602,AL,Nordeste,Quebrangulo,11080,pequeno_I,geo_hidrologico,False,nacional,,,
2708501,AL,Nordeste,São Luís do Quitunde,30873,pequeno_II,geo_hidrologico,False,nacional,,,
2709301,AL,Nordeste,União dos Palmares,59280,medio,geo_hidrologico,False,nacional,,,
1300060,AM,Norte,Amaturá,10819,pequeno_I,geo_hidrologico,False,nacional,,,
1300144,AM,Norte,Apuí,20647,pequeno_II,geo_hidrologico,False,nacional,,,
1301803,AM,Norte,Ipixuna,24311,pequeno_II,geo_hidrologico,False,nacional,,,
1301852,AM,Norte,Iranduba,60993,medio,geo_hidrologico,False,nacional,,,
1301902,AM,Norte,Itacoatiara,103598,grande,geo_hidrologico,False,nacional,,,
1303007,AM,Norte,Nhamundá,20135,pequeno_II,geo_hidrologico,False,nacional,,,
1303536,AM,Norte,Presidente Figueiredo,30668,pequeno_II,geo_hidrologico,False,nacional,,,
1303601,AM,Norte,Santa Isabel do Rio Negro,14164,pequeno_I,,True,nacional,decreto,resposta,
1303700,AM,Norte,Santo Antônio do Içá,28211,pequeno_II,geo_hidrologico,False,nacional,,,True
1303809,AM,Norte,São Gabriel da Cachoeira,51795,medio,geo_hidrologico,False,nacional,,,
1304237,AM,Norte,Tonantins,19247,pequeno_I,geo_hidrologico,False,nacional,,,
