uf,status,orgao,documento,numero,data,natureza_doc,consist,riscos_sanitarios_projetados,data_verificacao,url
AC,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
AL,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
AM,NOVO,SES-AM / FVS-RCP,"Plano de Contingência para Emergências em Saúde Pública Relacionadas a Eventos Climáticos Sazonais de Seca e Estiagem (publicado em 08/06/2026; cinco estágios operacionais: normalidade, mobilização, alerta, situação de emergência e crise)",,08/06/2026,ex-ante,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,05/09/2026,https://www.fvs.am.gov.br
AP,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
BA,VIG,SESAB/SUVISA/DIVEP,"Plano Estadual de Contingência das Arboviroses Urbanas — atualização 2025-2026 (reedição para o biênio, em conformidade com as Diretrizes Nacionais)",,05/2025,ex-ante,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,05/09/2026,https://www.saude.ba.gov.br/wp-content/uploads/2025/05/Atualizacao-Plano-de-Contingencia-veesao-2025_20261.pdf
CE,VIG,SESA-CE / SEVIR,Plano Estadual de Enfrentamento das Arboviroses 2025/2026 (apresentado em 01/07/2025 na oficina de emergências com o MS),,01/07/2025,ex-ante,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,05/09/2026,https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2022/02/2025_PLANO-ESTADUAL_ENFRENTAMENTO-ARBOVIROSES.pptx.pdf
DF,VIG,SES-DF,"Plano de Enfrentamento das Arboviroses do Distrito Federal (PDF no portal oficial, versão de 22/12/2023 — edição mais recente localizada)",,22/12/2023,ex-ante,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,05/09/2026,https://www.saude.df.gov.br/documents/37101/0/Plano-de-enfrentamento-arboviroses_231222_161225+(1).pdf/3061d8c1-7d45-cb9b-7584-5f49f9f73aff?t=1703339749606
ES,VIG,SESA-ES,"Plano de Contingência Estadual das Arboviroses — Dengue, Zika e Chikungunya (PDF no portal oficial 'mosquito.saude.es.gov.br'; sem data de edição no documento localizado)",,,ex-ante,NEUTRO,leptospirose; doenças diarreicas agudas; hepatite A; abrigos e continuidade de serviços,05/09/2026,https://mosquito.saude.es.gov.br/Media/dengue/Notas-Tecnicas-Alertas-Epidemiologicos/Plano%20Conting%C3%AAncia%20Arboviroses.pdf
GO,NOVO,SES-GO / SUVISA,"Plano de Emergências em Saúde Pública de Goiás — cenários do El Niño 2026-2027 (calor extremo, baixa umidade, fumaça de queimadas, arboviroses), apresentado em 27/08/2026, com a Nota Informativa nº 1/2026 – SES/SUVISA/SUVEPI/GESP/V-21845 encaminhada aos 246 municípios",Nota Informativa nº 1/2026 – SES/SUVISA/SUVEPI/GESP/V-21845,27/08/2026,ex-ante,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,05/09/2026,https://www.saude.go.gov.br/unidades-de-saude/outras-unidades
MA,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
