ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
1200013,AC,Acrelândia,nacional,2026-09-03,decreto,,
1200054,AC,Assis Brasil,nacional,2026-09-03,decreto,,
1200104,AC,Brasiléia,nacional,2026-09-03,decreto,,
1200138,AC,Bujari,nacional,2026-09-03,decreto,,
1200179,AC,Capixaba,nacional,2026-09-03,decreto,,
1200203,AC,Cruzeiro do Sul,nacional,2026-09-03,decreto,,
1200252,AC,Epitaciolândia,nacional,2026-09-03,decreto,,
1200302,AC,Feijó,nacional,2026-09-03,decreto,,
1200328,AC,Jordão,nacional,2026-09-03,decreto,,
1200344,AC,Manoel Urbano,nacional,2026-09-03,decreto,,
1200351,AC,Marechal Thaumaturgo,nacional,2026-09-03,decreto,,
1200336,AC,Mâncio Lima,nacional,2026-09-03,decreto,,
1200385,AC,Plácido de Castro,nacional,2026-09-03,decreto,,
1200807,AC,Porto Acre,nacional,2026-09-03,decreto,,
1200393,AC,Porto Walter,nacional,2026-09-03,decreto,,
1200401,AC,Rio Branco,nacional,2026-09-03,,,
1200427,AC,Rodrigues Alves,nacional,2026-09-03,decreto,,
1200435,AC,Santa Rosa do Purus,nacional,2026-09-03,decreto,,
1200500,AC,Sena Madureira,nacional,2026-09-03,decreto,,
1200450,AC,Senador Guiomard,nacional,2026-09-03,decreto,,
1200609,AC,Tarauacá,nacional,2026-09-03,decreto,,
1200708,AC,Xapuri,nacional,2026-09-03,decreto,,
2700201,AL,Anadia,nacional,2026-09-03,,,
2700300,AL,Arapiraca,nacional,2026-09-03,,,
2700409,AL,Atalaia,nacional,2026-09-03,,,
2700508,AL,Barra de Santo Antônio,nacional,2026-09-03,,,
2700607,AL,Barra de São Miguel,nacional,2026-09-03,,,
2700706,AL,Batalha,nacional,2026-09-03,,,
2700904,AL,Belo Monte,nacional,2026-09-03,decreto,,
2700805,AL,Belém,nacional,2026-09-03,,,
2701001,AL,Boca da Mata,nacional,2026-09-03,,,
2701100,AL,Branquinha,nacional,2026-09-03,,,
2701209,AL,Cacimbinhas,nacional,2026-09-03,,,
2701308,AL,Cajueiro,nacional,2026-09-03,,,
2701357,AL,Campestre,nacional,2026-09-03,,,
2701407,AL,Campo Alegre,nacional,2026-09-03,,,
2701506,AL,Campo Grande,nacional,2026-09-03,,,
2701605,AL,Canapi,nacional,2026-09-03,decreto,,
2701704,AL,Capela,nacional,2026-09-03,,,
2701803,AL,Carneiros,nacional,2026-09-03,decreto,,
2701902,AL,Chã Preta,nacional,2026-09-03,,,
2702009,AL,Coité do Nóia,nacional,2026-09-03,,,
2702108,AL,Colônia Leopoldina,nacional,2026-09-03,,,
2702207,AL,Coqueiro Seco,nacional,2026-09-03,,,
2702306,AL,Coruripe,nacional,2026-09-03,,,
2702355,AL,Craíbas,nacional,2026-09-03,,,
2702405,AL,Delmiro Gouveia,nacional,2026-09-03,,,
2702504,AL,Dois Riachos,nacional,2026-09-03,decreto,,
2702553,AL,Estrela de Alagoas,nacional,2026-09-03,,,
2702603,AL,Feira Grande,nacional,2026-09-03,,,
2702702,AL,Feliz Deserto,nacional,2026-09-03,,,
2702801,AL,Flexeiras,nacional,2026-09-03,,,
2702900,AL,Girau do Ponciano,nacional,2026-09-03,decreto,,
